Año	Mes	Nro. Edicto	Proceso	Expediente	Sentencia	Fecha Radicación	Fecha Decisión	Fijación Edicto	Acumulada
2016	Mayo	62	LAT	438	C-184/16	13/01/2015	14/04/2016	03/05/2016	
2016	Mayo	63	D	10886	C-069/16	03/07/2015	18/02/2016	12/05/2016	
2016	Mayo	64	LAT	435	C-210/16	08/07/2014	27/04/2016	13/05/2016	
2016	Mayo	65	D	10970	C-208/16	26/08/2015	27/04/2016	13/05/2016	
2016	Mayo	66	D	11032	C-206/16	17/09/2015	27/04/2016	18/05/2016	
2016	Mayo	67	D	11049	C-207/16	28/09/2015	27/04/2016	18/05/2016	
2016	Mayo	68	D	10965	C-191/16	24/08/2015	20/04/2016	23/05/2016	
2016	Mayo	69	D	10992	C-204/16	09/09/2015	27/04/2016	24/05/2016	
2016	Mayo	70	D	10913	C-177/16	22/07/2015	13/04/2016	26/05/2016	
2016	Mayo	71	D	10891	C-259/16	08/07/2015	18/05/2016	27/05/2016	
2016	Mayo	72	D	11076	C-261/16	09/10/2015	18/05/2016	27/05/2016	
2016	Junio	73	D	11065	C-233/16	05/10/2015	11/05/2016	02/06/2016	
2016	Junio	74	D	11030	C-262/16	16/09/2015	18/05/2016	03/06/2016	
2016	Junio	75	D	11040	C-205/16	21/09/2015	27/04/2016	08/06/2016	
2016	Junio	76	D	11069	C-234/16	06/10/2015	11/05/2016	09/06/2016	
2016	Junio	77	OG	149	C-284/16	18/12/2015	01/06/2016	09/06/2016	
2016	Junio	78	D	11026	C-258/16	15/09/2015	18/05/2016	13/06/2016	
2016	Junio	79	OG	144	C-202/16	12/07/2012	27/04/2016	14/06/2016	
2016	Junio	80	D	10914	C-223/16	22/07/2015	04/05/2016	21/06/2016	
2016	Junio	80	D	10932	C-223/16	03/08/2015	04/05/2016	21/06/2016	10/08/2015
2016	Junio	81	D	10885	C-209/16	01/07/2015	27/04/2016	21/06/2016	
2016	Junio	82	D	10974	C-192/16	31/08/2015	20/04/2016	24/06/2016	
2016	Junio	83	D	10987	C-260/16	04/09/2015	18/05/2016	24/06/2016	
2016	Junio	84	D	11056	C-272/16	30/09/2015	25/05/2016	27/06/2016	
2016	Junio	85	D	11099	C-274/16	26/10/2015	25/05/2016	27/06/2016	
2016	Junio	86	D	11075	C-273/16	09/10/2015	25/05/2016	27/06/2016	
2016	Junio	87	D	11027	C-297/16	15/09/2015	08/06/2016	27/06/2016	02/10/2015
2016	Junio	88	D	11000	C-263/16	14/09/2015	18/05/2016	28/06/2016	
2016	Julio	89	D	10945	C-161/16	11/08/2015	07/04/2016	01/07/2016	
2016	Julio	90	D	10981	C-299/16	01/09/2015	08/06/2016	01/07/2016	
2016	Julio	91	D	11123	C-329/16	06/11/2015	22/06/2016	01/07/2016	
2016	Julio	92	D	11097	C-300/16	23/10/2015	09/06/2016	01/07/2016	
2016	Julio	93	D	11058	C-327/16	30/09/2015	22/06/2016	05/07/2016	
2016	Julio	94	D	11022	C-231/16	15/09/2015	11/05/2016	06/07/2016	
